Name, Code, Bid($), Offer($), Last($), Change ($), Change (%), Open($), High($), Low($), Volume
Watchlist1,NAB,16.050,16.090,16.080,.730,4.76,15.870,16.080,15.520,11420512
Watchlist1,ANZ,16.500,16.550,16.540,1.020,6.57,16.100,16.540,15.800,11844129
Watchlist1,WBC,15.830,15.970,15.960,.710,4.66,15.630,15.960,15.330,13217582
Watchlist1,LNK,3.370,3.400,3.390,.080,2.42,3.330,3.390,3.310,2978977
Watchlist1,LLC,11.550,11.750,11.650,1.040,9.80,10.630,11.790,10.480,2831611
Watchlist1,MQG,99.000,99.500,99.500,6.610,7.12,96.000,99.500,95.170,1707713
Watchlist1,CTX,23.650,24.370,24.220,.460,1.94,24.680,25.210,23.330,1189030
Watchlist1,MGR,2.290,2.310,2.300,.080,3.60,2.230,2.310,2.210,14773460
Watchlist1,WPL,21.830,21.850,21.840,.810,3.85,21.610,21.870,21.110,3834324
Watchlist1,DHG,2.070,2.150,2.100,.050,2.44,2.020,2.120,2.010,2084814
Watchlist1,EVT,7.680,7.700,7.680,.190,2.54,7.610,7.780,7.610,146659
Watchlist1,AQZ,1.900,.000,1.900,.080,4.40,1.865,1.910,1.832,97044
Watchlist1,WOR,7.100,7.200,7.190,.340,4.96,7.100,7.290,6.880,3040748
Watchlist1,SEK,16.160,16.460,16.320,.520,3.29,16.050,16.410,15.710,1155456
Watchlist1,QBE,8.950,9.130,9.110,.210,2.36,8.940,9.150,8.830,3930579
Watchlist1,WEB,2.930,2.940,2.940,.140,5.00,2.900,2.970,2.700,7089855
Watchlist1,APT,21.870,22.000,22.000,2.120,10.66,20.800,22.100,20.400,3995274
Watchlist1,CPU,10.750,10.900,10.810,.200,1.89,10.640,10.960,10.540,2632662

